a_rel,b_rel,a_id,b_id,expected_label,match_found,similarity_score,structural_similarity,visual_similarity,a_fraud_status,a_fraud_score,b_fraud_status,b_fraud_score
invoices/inv_genuine1_a.png,invoices/inv_genuine1_b.png,123,124,genuine,False,,,,NONE,0.6215,NONE,0.6157
invoices/inv_genuine2_a.png,invoices/inv_genuine2_b.png,125,126,genuine,False,,,,NONE,0.6211,NONE,0.6141
invoices/inv_genuine3_a.png,invoices/inv_genuine3_b.png,127,128,genuine,False,,,,NONE,0.6227,NONE,0.6223
invoices/inv_fraud1_a.png,invoices/inv_fraud1_b.png,129,130,fraud,False,,,,NONE,0.6215,NONE,0.6153
invoices/inv_fraud2_a.png,invoices/inv_fraud2_b.png,131,132,fraud,False,,,,NONE,0.6215,NONE,0.6207
invoices/inv_fraud3_a.png,invoices/inv_fraud3_b.png,133,134,fraud,False,,,,NONE,0.6157,NONE,0.618
prescriptions/presc_genuine1_a.png,prescriptions/presc_genuine1_b.png,135,136,genuine,False,,,,NONE,0.6453,NONE,0.6536
prescriptions/presc_genuine2_a.png,prescriptions/presc_genuine2_b.png,137,138,genuine,False,,,,NONE,0.6488,NONE,0.6599
prescriptions/presc_genuine3_a.png,prescriptions/presc_genuine3_b.png,139,140,genuine,False,,,,NONE,0.6458,NONE,0.6481
prescriptions/presc_fraud1_a.png,prescriptions/presc_fraud1_b.png,141,142,fraud,False,,,,NONE,0.6453,NONE,0.6445
prescriptions/presc_fraud2_a.png,prescriptions/presc_fraud2_b.png,143,144,fraud,False,,,,NONE,0.6488,NONE,0.6491
prescriptions/presc_fraud3_a.png,prescriptions/presc_fraud3_b.png,145,146,fraud,False,,,,NONE,0.6458,NONE,0.6481
lab_reports/lab_genuine1_a.png,lab_reports/lab_genuine1_b.png,147,148,genuine,False,,,,NONE,0.6789,NONE,0.6807
lab_reports/lab_genuine2_a.png,lab_reports/lab_genuine2_b.png,149,150,genuine,False,,,,NONE,0.6695,NONE,0.6923
lab_reports/lab_genuine3_a.png,lab_reports/lab_genuine3_b.png,151,152,genuine,False,,,,NONE,0.6712,NONE,0.6692
lab_reports/lab_fraud1_a.png,lab_reports/lab_fraud1_b.png,153,154,fraud,False,,,,NONE,0.6789,NONE,0.6836
lab_reports/lab_fraud2_a.png,lab_reports/lab_fraud2_b.png,155,156,fraud,False,,,,NONE,0.6695,NONE,0.6741
lab_reports/lab_fraud3_a.png,lab_reports/lab_fraud3_b.png,157,158,fraud,False,,,,NONE,0.6712,NONE,0.6867
